Forecast Date,Forecast,Lower 95%,Upper 95%
2018-01-01,49405.955662642285,18819.645350998293,79992.26597428627
2018-02-01,40250.04067189961,9453.070585897414,71047.01075790181
2018-03-01,73296.72859255745,42290.62187524303,104302.83530987188
2018-04-01,57015.49637286399,25801.648369186645,88229.34437654134
2018-05-01,67402.24021314234,35982.01766885558,98822.46275742911
2018-06-01,63797.55021436683,32172.29203447005,95422.8083942636
2018-07-01,60501.004086515444,28672.022028246713,92329.98614478417
2018-08-01,65363.95761805086,33332.53691693477,97395.37831916695
2018-09-01,98463.99262199928,66231.39254850772,130696.59269549084
2018-10-01,83132.0616801874,50699.51602356236,115564.60733681243
2018-11-01,115143.31110753733,82512.02858222683,147774.59363284783
2018-12-01,107506.67191194766,74677.83648089209,140335.50734300324
